lat,lng,is_sensor
-37.829763753466004,144.985512852395,False
-37.803716021128004,144.966490974099,False
-37.802553121191,144.946066802158,True
-37.827566389852,144.968658425657,False
-37.805990276519,144.963083695648,False
-37.827512186756,144.955164411665,False
-37.799849324492,144.940671517033,False
-37.808279074955,144.947202156097,False
-37.827419241284,144.972721572072,False
-37.808080871148,144.95808069339301,False
-37.795081575993,144.967802317762,True
-37.797151135703004,144.968248176394,False
-37.825118111578,144.966785543152,True
-37.832756530024,144.98587377855802,False
-37.823231516448004,144.97137163882,False
-37.803076416775,144.968664479927,False
-37.805483978564,144.951686887451,True
-37.810454144554,144.947018550482,False
-37.803431245554,144.953231676749,True
-37.812049354022,144.95517855110398,False
-37.802658976927,144.95122800937799,False
-37.799842001716,144.95147027071698,True
-37.808595160549004,144.95440143498,False
-37.802983857079,144.96711389793,False
-37.807671702199,144.968520750636,False
-37.824930194103,144.905806132967,True
-37.796439699278004,144.972206034383,False
-37.798408669689,144.946612836005,True
-37.790804836404,144.94425922475,False
-37.80977484973,144.970516343314,False
-37.800415280858005,144.97081275598302,True
-37.800249106701,144.971107984723,True
-37.825073554376004,144.968272370591,False
-37.809748369766,144.97301869913701,False
-37.783456273599,144.95475081486998,False
-37.818127814077,144.981903693682,False
-37.834531253601,144.985156738485,True
-37.810220389512,144.982566025641,False
-37.8101251573,144.975713030013,False
-37.812960959463,144.954261095685,False
-37.824350568102005,144.940423261037,True
-37.810466361106,144.972211417313,False
-37.794819751286,144.95691833306802,True
-37.78170949108,144.950702897708,False
-37.796060048811995,144.96862039577601,False
-37.800230719779,144.96553927528402,False
-37.808706816855,144.958931536293,False
-37.794927849639,144.966307288654,True
-37.800267157594,144.971076564735,True
-37.79512787479,144.967766481945,True
-37.806343664488004,144.95390233588802,False
-37.799046820179996,144.96987843008998,True
-37.79690251697,144.970713193118,True
-37.794018511135995,144.972585598173,False
-37.795341237007996,144.937687171817,True
-37.802868010863,144.965032027861,False
-37.825166157789,144.905389755465,True
-37.806139064863,144.964456861763,False
-37.803431977094,144.955684673873,True
-37.816080572012,144.988033933501,True
-37.794044683843005,144.972525697701,True
-37.796399123006,144.971829830713,True
-37.796127593957,144.96691061806,True
-37.795644733298005,144.965167586307,True
-37.818797522231996,144.947770932099,False
-37.79581285621,144.93483906770598,False
-37.802088611326,144.962316169414,False
-37.804699561503,144.946152956996,True
-37.809306629781,144.96661262251,False
-37.796904460049,144.97073516650602,False
-37.793721855247995,144.945649476301,False
-37.802859751719,144.967717160763,False
-37.827331678637,144.90256109754,True
-37.795620083702005,144.970693728908,True
-37.800213836437,144.970819065296,True
-37.800301833069,144.97101463030899,False
-37.796199240178,144.96702545183902,True
-37.802865730788,144.948844156341,False
-37.793294844477,144.966656373436,False
-37.796125798142,144.966967479182,False
-37.800046827329,144.948925941343,False
-37.802165488785,144.941860192982,True
-37.824156210525,144.960421464413,False
-37.834102944314,144.97887995353,False
-37.827706863568004,144.902262578039,True
-37.826126490126,144.969876275355,False
-37.803100381856,144.968882869272,False
-37.795666651965,144.967699068799,True
-37.796437925529,144.967213866055,False
-37.807791228925,144.960283997392,False
-37.781943460676,144.94975157083,False
-37.794350211299,144.971833142303,True
-37.795568598486,144.970705290626,True
-37.79699567549,144.970696563512,True
-37.796278801705,144.96708825721,True
-37.800196894079,144.97085001545602,False
-37.794464161818,144.970891811494,True
-37.794567790763004,144.970874632841,True
-37.810104094611,144.94479471012698,False
-37.796913127767,144.970497910072,False
-37.794535740805,144.97141544938998,True
-37.804962450177,144.959929193265,False
-37.796034356151,144.970622621891,False
-37.799023326105,144.971462936927,True
-37.796486832302996,144.968823349512,True
-37.800126891228,144.970974326822,True
-37.836208728586996,144.982154668405,True
-37.797011315995,144.970480354367,True
-37.796888299579,144.969233351145,False
-37.800179616611,144.970880973637,False
-37.793826074993,144.930305987125,False
-37.800150319266,144.971290480062,False
-37.793992337515995,144.972645499764,True
-37.811696974696005,144.95369974750201,False
-37.814503789648,144.969680701412,False
-37.796804336058,144.970730757368,True
-37.795359986743,144.970739940377,True
-37.796706141316,144.97074830377198,False
-37.795411471965,144.970728378722,True
-37.794244193736,144.97207182256201,True
-37.793692957866,144.973328124251,True
-37.796440085697,144.971813218607,True
-37.803643173935,144.963519372858,False
-37.801844090044,144.963445045005,False
-37.80544057118,144.955254939183,False
-37.807362927854,144.958991883172,False
-37.798985390347,144.973350585443,True
-37.79515272377,144.970774051039,True
-37.817735900773,144.981855951001,False
-37.817703251725,144.956193230828,False
-37.800712535579,144.96232276420602,False
-37.822866126528,144.970173825652,False
-37.828876691581,144.97033550739,False
-37.799161262856,144.974539745867,False
-37.811557321563,144.948706753426,False
-37.812709189768,144.95333846269,False
-37.796219130793,144.96704115344698,False
-37.800398003404005,144.97084371426598,False
-37.816794203663,144.965989152321,False
-37.825169260325,144.966740396543,True
-37.82392537488,144.96444228644398,False
-37.791791918207004,144.920308911637,True
-37.800774430514004,144.97226050719,True
-37.828380606249,144.964506340297,False
-37.8254816885,144.96879335591498,False
-37.826265827458,144.903654226614,True
-37.815806213742,144.980983558181,False
-37.792947986787,144.918981763917,True
-37.794308889696005,144.97091912710698,True
-37.800111975759,144.97100225377702,False
-37.795512088542,144.967727453377,True
-37.809921955597,144.95879394455298,False
-37.825638998624,144.96169652761802,False
-37.817376160987,144.964683906604,False
-37.795463116369,144.96773620905,False
-37.81784391371,144.958110657535,False
-37.796537378429,144.967292372404,False
-37.800234192101996,144.971135911674,False
-37.796771847821,144.96925448745301,False
-37.797158596996,144.970454021884,False
